Old Categories,New Categories
country,country
place of birth,place of birth
place of death,place of death
sex or gender,sex or gender
spouse,spouse
country of citizenship,country of citizenship
continent,geographical continent
instance of,instance of
head of state,chief of state (individual)
capital,capital city
official language,official language
currency,currency
position held,position held
shares border with,shares border with
author,author
member of sports team,member of sports team
director,media or game director
screenwriter,screenwriter
discoverer or inventor,discoverer or inventor
ancestral home,ancestral home
educated at,educated at
field of work,field of work
member of political party,member of political party
occupation,job occupation
employer,employer
founded by,founded by
home venue,home venue
place of burial,place of burial
basic form of government,basic form of government
publisher,publisher
owned by,owned by
located in the administrative territorial entity,located in the administrative territorial entity
genre,media genre
named after,named after
religion or worldview,religion or worldview
based on,based on
contains the administrative territorial entity,contains the administrative territorial entity
follows,succeeds to
headquarters location,headquarters location
cast member,cast member
producer,media or game producer
award received,award received
chief executive officer,chief executive officer
creator,media or game creator
parent taxon,parent taxon
ethnic group,ethnic group
performer,media performer
manufacturer,manufacturer
legislative body,legislative body
record label,record label
production company,production company
copyright license,copyright license
location,physical location
programmed in,programmed in
subclass of,subclass of
operating system,operating system
director of photography,director of photography
part of,part of
original language of film or TV show,original language of film or TV show
has use,has use function or purpose
platform,computing platform
language of work or name,language of work or name
position played on team / speciality,position played on team / speciality
located in time zone,located in time zone
occupational field,occupational field
distribution format,distribution format
original broadcaster,original broadcaster
unmarried partner,unmarried partner
industry,industry
said to be the same as,said to be the same as
opposite of,opposite of
color,color
member of,member of
chairperson,chairperson
country of origin,country of origin
cause of death,cause of death
honorific prefix,honorific prefix
officially opened by,inaugurated by
residence,place of residence
conflict,participated in conflict
highest point,highest point
religious order,religious order
sport,sport
characters,characters
influenced by,influenced by
location of formation,location of formation
parent organization,parent organization
distributed by,distributed by
symptoms and signs,symptoms and signs
significant event,significant event
authority,authority
notable work,notable work
student,student
academic major,academic major
mascot,mascot
narrative location,narrative location
filming location,filming location
main subject,main subject
applies to jurisdiction,applies to jurisdiction
conferred by,conferred by
film editor,film editor
location of creation,location of creation
facet of,facet of
instrument,musical instrument
described by source,described by source
participant in,participant in
winner,winner
replaces,preceded by
partially coincident with,partially coincident with
contains settlement,contains settlement
nominated for,nominated for
"languages spoken, written or signed",languages spoken written or signed
affiliation,affiliation
taxon synonym,taxon synonym
start point,start point
heritage designation,heritage designation
legal form,legal form
standards body,standards setting organization
immediate cause of,immediate cause of
has effect,has effect
motto,motto
has characteristic,has characteristic
this taxon is source of,this taxon is source of
health specialty,health specialty
medical condition treated,medical condition treated
history of topic,history of topic
official symbol,official symbol
uses,makes use of
indigenous to,indigenous to
has list,has list
office held by head of the organization,office held by head of the organization
set in period,set in period
costume designer,costume designer
operating area,operating area
studied in,studied in
subject has role,subject has role
language used,language used
package management system,package management system
film crew member,film crew member
associated hazard,associated hazard
significant person,significant person
sibling,sibling
has goal,has goal
next higher rank,next higher rank
diaspora,diaspora
has fruit type,has fruit type
first appearance,first appearance
risk factor,risk factor
model item,model item
copyright status,copyright status
hardiness of plant,hardiness of plant
parent,parent
taxon range,taxon range
